order_id,order_date,customer_id,customer_name,region,city,product_id,product_name,category,price,quantity,discount,payment_method,order_status
O18154,2024-11-04,C398,"Gregory Payne",North," Delhi",P8916,jeans,Fashion,2950,4,10.0,UPI,"Cancelled"
O19418,2024-12-03,C251,"Charlotte Walsh",North,,P3240," Lamp ",Home,6072,3,0.0,UPI,"Returned"
O15062,2024-03-09,C325,"michael mitchell",North,Mumbai,P6549,chair,Home,6294,2,10.0,COD,"Cancelled"
O13697,2024-01-13,C446,"Dennis Baxter",South," Bangalore",P6374,"Phone ",Electronics,54941,3,0.0,COD,"Returned"
O21487,2024-05-23,C254,,North,CHENNAI,P7070,MONITOR,Electronics,25253,5,20.0,UPI,"Returned"
O11628,2024-10-10,C451,"Kelly Graham",South,bangalore,P4538,HEADPHONES,Electronics,48713,5,15.0,Card,"Completed"
O14543,2024-02-25,C174,"Benjamin Mejia",North,Delhi,P9254,LAPTOP,Electronics,73955,3,-10.0,UPI,"Cancelled"
O17505,2024-11-01,C429,"VANESSA ADKINS",East,chennai,P5831," Headphones",Electronics,21540,1,15.0,Card,"Returned"
O21498,2024-02-04,C158,"John Sullivan",South,MUMBAI,P2398,t-shirt,Fashion,3060,4,15.0,COD,"Returned"
O12132,2024-02-12,C384,"traci leblanc md",South,kolkata,P4674,lamp,Home,5012,4,15.0,Card,"Returned"
O11883,2024-07-24,C490,"Christine Howard",South," Kolkata ",P3324," Lamp ",Home,5362,3,,COD,"Completed"
O18692,2024-05-19,C210,"Christina Andrade",West,"Bangalore ",P9394,laptop,Electronics,15693,2,20.0,UPI,"Returned"
O21112,2024-09-13,C447,"Alexis Brown",North,KOLKATA,P6802,headphones,Electronics,70193,3,10.0,UPI,"Returned"
O17148,2024-04-05,C109,"MEGAN GAINES",South," Chennai ",P7560,"Chair ",Home,7838,3,15.0,COD,"Cancelled"
O13631,2024-11-17,C270,"KATIE FLOYD",North,Kolkata,P8601,"Jacket ",Fashion,2116,2,10.0,Card,"Completed"
O20277,2024-07-15,C261,"BRADLEY SIMMONS",West,"Bangalore ",P1672," Jacket",Fashion,2851,4,0.0,COD,"Returned"
O15268,2024-12-13,C409,"  David Gray  ",East,bangalore,P1857," Table ",Home,2900,4,20.0,UPI,"Cancelled"
O11549,2024-11-25,C385,"Michael Avila",West,Kolkata,P3093," Headphones ",Electronics,56374,3,0.0,COD,"Cancelled"
O20585,2024-11-12,C443,"Jason Hoffman",West," Mumbai",P7172,CHAIR,Home,8617,1,5.0,Card,"Completed"
O21816,2024-08-24,C324,"adam carter",North," Hyderabad",P7256,"Table ",Home,7984,4,20.0,Card,"Returned"
O19907,2024-01-14,C170,"ANGELA WALLACE",South,bangalore,P1872," Phone",Electronics,24313,2,20.0,COD,"Cancelled"
O11338,2024-11-07,C291,"  Joshua Davis  ",South,BANGALORE,P7934,monitor,Electronics,5688,2,0.0,COD,"Completed"
O11997,2024-07-03,C124,"Eddie Park",West,chennai,P9618,"Headphones ",Electronics,36531,3,20.0,Card,"Completed"
O16398,2024-12-16,C340,"melissa archer",South,bangalore,P8840," Chair ",Home,5747,1,10.0,UPI,"Returned"
O21732,2024-04-03,C497,"KIMBERLY POWELL",North,Mumbai,P8159," Laptop",Electronics,30048,5,10.0,COD,"Returned"
O13061,2024-12-19,C354,"Nancy Estrada",West,delhi,P6759," Jacket",Fashion,3186,5,15.0,Card,"Returned"
O14499,2024-10-17,C427,"  Richard Herrera  ",North," Bangalore ",P3513," Shoes ",Fashion,1534,5,5.0,UPI,"Cancelled"
O17274,2024-05-26,C490,"amy johnson",South," Bangalore ",P9047,JACKET,Fashion,1464,2,10.0,UPI,"Completed"
O12829,2024-01-05,C465,"SHEILA BROWN",North," Bangalore ",P1430,Monitor,Electronics,27818,3,0.0,COD,"Completed"
O19039,2024-10-09,C166,"BRYAN COCHRAN",South,"Hyderabad ",P3981,SHOES,Fashion,1107,1,15.0,UPI,"Completed"
O18489,2024-12-03,C178,"Evan Sanders",South,kolkata,P6531,"Laptop ",Electronics,74924,3,10.0,Card,"Returned"
O10745,2024-04-09,C428,"Isaac Pruitt",North," Kolkata",P4342,Laptop,Electronics,58227,4,20.0,COD,"Completed"
O15659,2024-03-22,C304,"Jonathan Patel",West," Chennai",P9433," Jacket",Fashion,1808,4,5.0,Card,"Cancelled"
O10380,2024-07-06,C146,"Terry Collins",South,,P7563,shoes,Fashion,1380,0,10.0,Card,"Cancelled"
O19065,2024-09-13,C247,"barbara james",South,"Kolkata ",P1742,headphones,Electronics,78116,4,20.0,COD,"Returned"
O18509,2024-08-01,C333,"Lindsay Hale",North,"Bangalore ",P6040," Shoes ",Fashion,2955,5,10.0,UPI,"Returned"
O19780,2024-08-02,C342,"Cheyenne Cardenas",East,"Mumbai ",P7765," Chair ",Fashion,4268,5,15.0,COD,"Completed"
O21918,2024-04-25,C131,"Megan Howard",North,Chennai,P5735," Sofa ",Home,4631,5,5.0,COD,"Cancelled"
O15195,2024-01-12,C345,"Sarah Schmidt",North,"Delhi ",P8849,SOFA,Home,5058,3,15.0,COD,"Cancelled"
O19209,2024-08-31,C456,"Andrew Acosta",North,"Delhi ",P4267,Lamp,Home,388543,4,5.0,COD,"Cancelled"
O11466,2024-06-20,C433,"Jonathan Watkins",North,MUMBAI,P8444," Chair ",Home,5042,4,0.0,Card,"Returned"
O18262,2024-04-04,C339,"Daniel Clark",South,HYDERABAD,P8822,Jeans,Fashion,3821,5,0.0,COD,"Cancelled"
O16285,2024-05-31,C220,"Timothy Rodriguez MD",East,,P4618,HEADPHONES,Electronics,70866,1,10.0,UPI,"Returned"
O17455,2024-04-13,C482,"Danny Ortiz",East,KOLKATA,P9792,JEANS,Fashion,3463,1,5.0,COD,"Returned"
O11905,2024-01-24,C448,"  Jason Miller  ",North,"Delhi ",P6644," Sofa ",Home,656,4,15.0,Card,"Completed"
O17735,2024-07-20,C116,"Jamie Wilson",North," Hyderabad",P3086," Laptop ",Electronics,75687,4,10.0,COD,"Completed"
O14889,2024-12-10,C337,"Luke Chambers",East,MUMBAI,P1797,LAPTOP,Electronics,7050,1,10.0,Card,"Completed"
O13840,2024-03-30,C376,"  Monique Soto  ",West," Bangalore ",P7999,"Shoes ",Fashion,4770,3,20.0,COD,"Returned"
O18593,2024-11-27,C263,"Gregory Ramirez",South,KOLKATA,P8369,Shoes,Fashion,3912,4,10.0,COD,"Cancelled"
O10845,2024-09-02,C237,"  John Clark  ",North,"Kolkata ",P4350," Table",Home,3770,3,5.0,COD,"Returned"
O14638,2024-10-26,C294,"Seth Tate",East," Chennai ",P7841,Lamp,Home,9516,2,15.0,COD,"Cancelled"
O16224,2024-02-08,C391,"Cody Ruiz",North," Bangalore",P1794,jeans,Fashion,4500,3,15.0,Card,"Completed"
O11114,2024-12-23,C462,"John Brown",South,"Hyderabad ",P8054,TABLE,Home,8973,0,-10.0,UPI,"Completed"
O13949,2024-07-12,C198,"Jennifer Le",North," Delhi",P8798,phone,Electronics,15566,2,15.0,COD,"Completed"
O11355,2024-01-04,C355,"Daniel Hughes",West,delhi,P1256,TABLE,Home,1518,5,5.0,Card,"Returned"
O11261,2024-11-10,C253,"Kirsten Walsh",South," Kolkata ",P7499,Sofa,Home,1179,1,5.0,COD,"Cancelled"
O18039,2024-08-15,C216,"Emily Miller",North,"Hyderabad ",P5419,shoes,Fashion,1763,1,10.0,COD,"Completed"
O17354,2024-03-06,C385,"  Gregory Tucker  ",North,Delhi,P9079,MONITOR,Electronics,36816,1,,UPI,"Completed"
O16900,2024-11-29,C253,"JEFFREY EVANS",North," Mumbai",P3230,Jacket,Fashion,3221,2,20.0,UPI,"Cancelled"
O17849,2024-08-24,C260,"Kimberly Taylor",North,"Hyderabad ",P4434," Table",Home,3573,4,5.0,Card,"Returned"
O16704,2024-10-01,C444,"Patrick Martinez",West," Hyderabad",P2392,chair,Home,7153,5,0.0,UPI,"Returned"
O12726,2024-09-13,C431,"Shawn Anderson",West," Bangalore",P6651,lamp,Home,9724,5,,UPI,"Returned"
O11407,2024-05-04,C159,"Kyle Gordon",South,Mumbai,P3858,"Shoes ",Fashion,1442,4,15.0,COD,"Returned"
O17571,2024-10-01,C218,"Danielle Herrera",North,,P6993,Sofa,Home,3671,4,20.0,COD,"Returned"
O20989,2024-03-13,C350,"Sharon Nichols",North,Kolkata,P7364," Headphones",Electronics,22556,3,15.0,COD,"Completed"
O16932,2024-10-09,C195,"Jade Baker",South," Mumbai",P9056," Sofa",Home,457,4,10.0,UPI,"Returned"
O12741,2024-01-22,C142,,West,MUMBAI,P8231,"Shoes ",Fashion,1435,4,15.0,UPI,"Returned"
O20710,2024-10-18,C484,"  Shawn Brown  ",North,delhi,P9720,T-shirt,Fashion,4007,3,5.0,COD,"Completed"
O21536,2024-10-22,C249,"Alex Johnson",South,HYDERABAD,P5402," Headphones ",Electronics,24168,2,15.0,Card,"Cancelled"
O20382,2024-02-02,C493,"jeffrey palmer",South,Bangalore,P7516,T-SHIRT,Fashion,1263,1,15.0,Card,"Returned"
O14400,2024-03-08,C265,"Jessica Gutierrez",East," Chennai ",P5945,MONITOR,Electronics,25707,4,,UPI,"Completed"
O20725,2024-02-03,C284,"Tyler Thompson Jr.",East," Chennai ",P3165," T-Shirt",Fashion,2352,172,5.0,COD,"Returned"
O21973,2024-04-21,C152,"Kristin Mclaughlin",North," Mumbai ",P2646,T-SHIRT,Fashion,2245,5,5.0,UPI,"Returned"
O15760,2024-11-26,C319,"Stephen Hodges",West," Kolkata ",P4921," Sofa",Home,5242,1,20.0,COD,"Returned"
O20455,2024-05-14,C404,"mr. craig martin",South,Delhi,P1652,monitor,Electronics,66736,4,5.0,COD,"Returned"
O20299,2024-06-07,C464,"Julie Ortiz",East,KOLKATA,P8167," Jacket ",Fashion,3176,2,10.0,Card,"Returned"
O14006,2024-05-17,C144,"Rebecca Williams",East," Hyderabad ",P2934,laptop,Electronics,73551,1,5.0,UPI,"Completed"
O18583,2024-08-29,C132,"Christopher Tucker",North," Kolkata",P7274,JACKET,Fashion,1444,1,20.0,COD,"Completed"
O13679,2024-08-21,C264,"Kimberly Beard",North,"Kolkata ",P7044,MONITOR,Electronics,65960,1,0.0,UPI,"Cancelled"
O17601,2024-06-06,C288,"Rachel Little",North,KOLKATA,P4361,"Jeans ",Fashion,578,2,,Card,"Cancelled"
O10982,2024-01-05,C172,"EDDIE DUDLEY",East,Kolkata,P5276,Shoes,Fashion,3730,1,15.0,UPI,"Returned"
O15212,2024-12-17,C331,"ANDREW CARSON",East,kolkata,P1660,JACKET,Fashion,2200,1,5.0,COD,"Completed"
O11495,2024-04-23,C464,"Caitlin Jennings",West,BANGALORE,P4246," Jeans",Fashion,4285,5,0.0,COD,"Completed"
O19541,2024-07-14,C400,"  Sean Downs  ",South,HYDERABAD,P7990,CHAIR,Home,1129,3,0.0,Card,"Cancelled"
O14586,2024-10-05,C328,"CHRISTINA NEAL",South," Mumbai",P7266," Headphones ",Electronics,31143,1,15.0,COD,"Returned"
O15637,2024-01-29,C389,"Steven Kirby",South,,P7363,Sofa,Home,4113,5,10.0,Card,"Completed"
O13876,2024-01-01,C403,"Chelsea Baker",East,"Hyderabad ",P4300,PHONE,Electronics,9975,4,20.0,COD,"Completed"
O10976,2024-11-28,C111,"Kimberly Wagner",North,kolkata,P3854," Headphones ",Electronics,22884,5,10.0,UPI,"Returned"
O13658,2024-02-09,C440,"Manuel Young",East,mumbai,P6682,Lamp,Home,3919,5,20.0,UPI,"Completed"
O17318,2024-12-17,C105,"  Francisco Lawson  ",North,delhi,P3664," Headphones",Electronics,54638,2,15.0,UPI,"Returned"
O10329,2024-07-04,C263,"Sarah Reed",North,"Mumbai ",P9849,Headphones,Electronics,26626,4,0.0,COD,"Completed"
O11572,2024-04-12,C125,"Timothy Yates",West,Delhi,P2493," Jeans ",Fashion,1171,2,20.0,UPI,"Cancelled"
O16250,2024-07-17,C289,"MR. JEFFERY REEVES",South,Bangalore,P7858,"Headphones ",Electronics,75968,1,20.0,COD,"Returned"
O17804,2024-08-04,C253,"cindy wilson",West,,P8133,JEANS,Fashion,4178,5,20.0,COD,"Completed"
O19750,2024-10-25,C232,"Phillip Mitchell",East,Kolkata,P2730,"Table ",Home,8861,1,10.0,COD,"Completed"
O16733,2024-08-06,C235,,West,"Bangalore ",P9054," Jacket ",Fashion,2446,4,20.0,UPI,"Cancelled"
O14924,2024-03-10,C480,"Mariah Orr",West," Hyderabad",P1474,PHONE,Electronics,12367,4,5.0,UPI,"Returned"
O14088,2024-12-18,C116,"David Lewis",North," Chennai ",P5670,laptop,Electronics,67204,4,0.0,COD,"Cancelled"
O13627,2024-06-27,C431,"Jose King DDS",South,,P5128,PHONE,Electronics,45037,1,5.0,UPI,"Cancelled"
O19577,2024-03-17,C152,"monica hodges",South,"Bangalore ",P4937,sofa,Home,5627,4,20.0,Card,"Returned"
O20823,2024-06-02,C263,"Alan Liu",West," Bangalore",P3967,Sofa,Home,3943,5,15.0,UPI,"Returned"
O21882,2024-06-02,C386,"Adrienne Norton",North,DELHI,P4187,"Headphones ",Electronics,20437,3,10.0,Card,"Returned"
O18681,2024-03-27,C252,"Michael Cabrera",North,"Bangalore ",P3595," Sofa",Home,3197,2,15.0,UPI,"Cancelled"
O20068,2024-09-14,C322,"Dale Raymond",West," Delhi ",P6015,PHONE,Electronics,37613,5,10.0,UPI,"Completed"
O14765,2024-12-30,C333,"Mrs. Miranda Trujillo",North," Mumbai",P1612," Headphones",Electronics,22197,4,10.0,Card,"Completed"
O19731,2024-12-24,C124,"  Barbara Ramirez  ",East,chennai,P7862,t-shirt,Fashion,2966,2,20.0,Card,"Cancelled"
O14632,2024-10-20,C158,"Steven Martinez",South,Kolkata,P9095,CHAIR,Home,8175,4,15.0,Card,"Completed"
O21855,2024-12-05,C470,"Janice Sanchez",East,bangalore,P3793,Chair,Home,7279,3,0.0,COD,"Completed"
O11523,2024-09-04,C290,"Natalie Roy",South," Bangalore ",P8178,JACKET,Fashion,980,2,15.0,COD,"Cancelled"
O21215,2024-12-24,C472,"Danielle Contreras",West,chennai,P2560," T-Shirt",Fashion,2334,5,-10.0,UPI,"Returned"
O15665,2024-10-08,C439,"Steven Ware",West," Kolkata ",P7203," Monitor",Electronics,69441,4,5.0,UPI,"Completed"
O17278,2024-06-23,C393,"Nicholas Mclaughlin",West,chennai,P1889,MONITOR,Electronics,44924,73,0.0,Card,"Returned"
O21742,2024-04-10,C436,"  Mike Terrell  ",West," Delhi ",P2978," Shoes",Fashion,1650,1,10.0,UPI,"Completed"
O11766,2024-03-29,C487,"Erica Joseph",North,"Chennai ",P3103,headphones,Electronics,61729,5,20.0,Card,"Completed"
O18260,2024-10-10,C296,"Lori Jenkins",South,Chennai,P4560,LAMP,Home,5197,5,15.0,UPI,"Returned"
O21250,2024-08-04,C276,"Steven Hart",North," Mumbai ",P9564,lamp,Home,7139,5,10.0,Card,"Cancelled"
O20982,2024-12-22,C128,"Tracy Roman",North,bangalore,P1769," Laptop",Electronics,78647,3,10.0,Card,"Cancelled"
O19047,2024-12-15,C127,"nathan henderson",South," Kolkata",P4063,LAMP,Home,3518,3,5.0,UPI,"Cancelled"
O10666,2024-06-11,C319,"Frank King",West," Delhi ",P4603,MONITOR,Electronics,44472,5,,UPI,"Completed"
O16815,2024-11-14,C378,"MATHEW FROST",South,Mumbai,P1653," Table ",Home,444,5,10.0,COD,"Returned"
O16323,2024-04-17,C231,"Rita Lopez",East,"Bangalore ",P4492," T-Shirt ",Electronics,1286,2,15.0,Card,"Returned"
O18811,2024-08-18,C459,"Ricky Giles",South,DELHI,P7626," Phone",Electronics,38018,1,0.0,COD,"Cancelled"
O18763,2024-04-22,C103,"Benjamin Castillo",North,Hyderabad,P7406,"T-Shirt ",Fashion,4085,3,20.0,COD,"Cancelled"
O14884,2024-11-26,C446,"Meagan Charles",North,"Delhi ",P3333,TABLE,Home,1694,5,-10.0,Card,"Cancelled"
O13184,2024-02-05,C158,"Leroy Li",North,"Kolkata ",P6206," Lamp",Home,5720,1,0.0,COD,"Completed"
O21362,2024-02-25,C399,"Gloria Woods",South,,P2343,Lamp,Home,5732,4,5.0,UPI,"Cancelled"
O14313,2024-06-07,C475,"JONATHAN CHEN",East," Delhi ",P4658,"Phone ",Electronics,39159,5,0.0,UPI,"Returned"
O17614,2024-07-08,C356,"Charles Yang",West,"Kolkata ",P1701," Jeans ",Fashion,4460,5,5.0,UPI,"Completed"
O17696,2024-04-24,C332,"REBECCA SMITH",North,"Delhi ",P7649,Shoes,Fashion,3600,5,10.0,COD,"Returned"
O17899,2024-11-12,C409,"bryan english",West,chennai,P8848,SHOES,Fashion,1469,2,20.0,UPI,"Returned"
O10368,2024-05-25,C224,"robert cox",South,"Mumbai ",P4548," Sofa",Home,6942,2,0.0,COD,"Returned"
O12795,2024-09-15,C212,"Robert Brewer",West,"Mumbai ",P7877,SHOES,Fashion,3598,4,10.0,COD,"Returned"
O20073,2024-04-27,C407,"jonathan higgins",West,kolkata,P7246,Monitor,Electronics,61557,5,15.0,COD,"Returned"
O16972,2024-03-20,C168,"Desiree Shields",South," Kolkata",P5155,Chair,Home,417,1,10.0,UPI,"Cancelled"
O20026,2024-08-16,C241,"Melanie Sutton",East,Kolkata,P3650,jacket,Fashion,3761,3,20.0,Card,"Completed"
O19021,2024-05-26,C414,"Laura Carpenter",North,DELHI,P1941,JACKET,Fashion,809,1,15.0,UPI,"Returned"
O13305,2024-10-27,C436,"Patrick Conner",West,KOLKATA,P9482,t-shirt,Fashion,1211,2,20.0,UPI,"Returned"
O19005,2024-10-02,C245,"Allen Cruz",West,BANGALORE,P5098," Laptop ",Electronics,78220,3,15.0,COD,"Returned"
O13986,2024-05-14,C487,"Michael Hatfield",South,Delhi,P5706,shoes,Fashion,3086,2,0.0,Card,"Completed"
O11246,2024-03-02,C383,"Paula Parrish",South," Bangalore ",P9071,"Lamp ",Home,3622,2,5.0,UPI,"Completed"
O17902,2024-03-30,C290,"Donna Mckinney",North,"Bangalore ",P2972," Chair ",Home,8136,2,10.0,UPI,"Cancelled"
O10194,2024-04-02,C445,"Joan Gonzalez",South,Bangalore,P3148,"T-Shirt ",Fashion,2224,3,5.0,UPI,"Cancelled"
O13864,2024-12-19,C384,"Lisa Berry",West,mumbai,P1983,HEADPHONES,Electronics,68782,5,5.0,Card,"Completed"
O17371,2024-09-06,C481,"Nicole White",West," Bangalore",P8322,t-shirt,Fashion,4910,5,0.0,UPI,"Cancelled"
O20350,2024-08-18,C174,"Kevin Odom",South,kolkata,P3741,SHOES,Fashion,3739,3,0.0,UPI,"Returned"
O20847,2024-05-25,C228,"  Scott Smith  ",East," Delhi",P3071,PHONE,Electronics,39400,5,20.0,UPI,"Cancelled"
O10576,2024-09-03,C439,"Teresa Mendoza",South,"Kolkata ",P4721,laptop,Electronics,78922,5,15.0,Card,"Cancelled"
O14257,2024-10-14,C179,"MS. WENDY BALL MD",South," Mumbai",P7467,SHOES,Fashion,2899,4,,Card,"Cancelled"
O16200,2024-12-24,C212,"Daniel Cole",North," Kolkata ",P9060,SOFA,Home,3288,3,10.0,UPI,"Returned"
O18765,2024-03-15,C111,"Brent Graham",North,,P5366," Laptop",Electronics,70325,3,0.0,COD,"Cancelled"
O13149,2024-01-22,C228,"Michael Ramsey",North," Mumbai",P9534,jeans,Fashion,2207,4,5.0,UPI,"Cancelled"
O13256,2024-02-15,C284,"Thomas Little",North,hyderabad,P3583," Lamp",Home,988,0,5.0,Card,"Returned"
O20243,2024-05-08,C130,"daniel davis",North,hyderabad,P8951," Lamp ",Home,7487,5,5.0,UPI,"Cancelled"
O13110,2024-11-13,C390,"Jason Wilson",South,"Kolkata ",P4912,Shoes,Fashion,434509,3,5.0,Card,"Completed"
O13111,2024-02-12,C368,"James Martinez",West,chennai,P9615,"Sofa ",Home,2053,2,0.0,Card,"Returned"
O16003,2024-06-02,C213,"TAMMY GARCIA",West,mumbai,P2276,T-SHIRT,Fashion,3523,5,15.0,Card,"Cancelled"
O21882,2024-06-21,C218,"David Moore DVM",East,"Hyderabad ",P3591,"Laptop ",Electronics,60977,5,20.0,COD,"Returned"
O15164,2024-05-25,C381,"Vicki Richards",East,Chennai,P1267,"Jacket ",Fashion,2581,4,20.0,UPI,"Completed"
O14921,2024-06-02,C213,"Travis White",North,"Bangalore ",P7550,"T-Shirt ",Fashion,1633,1,20.0,COD,"Completed"
O21856,2024-04-26,C266,"Jeffrey Hanson",East,kolkata,P1187," Chair ",Home,5778,5,20.0,UPI,"Completed"
O14994,2024-12-02,C368,"kelly hicks",West," Mumbai ",P1807,"T-Shirt ",Fashion,4634,4,5.0,UPI,"Completed"
O18222,2024-04-08,C322,"Natasha Jacobs",South,"Chennai ",P6706,MONITOR,Electronics,61369,5,5.0,COD,"Completed"
O14995,2024-02-26,C186,"Mary Peters",North,MUMBAI,P8373," Chair",Home,2719,1,5.0,COD,"Cancelled"
O13340,2024-01-05,C379,"Melissa Hernandez",North," Mumbai ",P7367," Phone ",Electronics,42226,5,0.0,UPI,"Completed"
O11768,2024-05-06,C109,"Margaret Ross",North,kolkata,P9027," Lamp",Home,7803,1,10.0,COD,"Completed"
O21212,2024-07-14,C280,"Richard Best",West," Bangalore ",P4726," Headphones",Electronics,34567,1,10.0,Card,"Completed"
O15119,2024-09-29,C409,"Dawn Dixon",North,KOLKATA,P2939,MONITOR,Electronics,24025,5,5.0,COD,"Cancelled"
O15222,2024-01-14,C311,"Steven Melton",North,Hyderabad,P2302," Laptop ",Electronics,39978,2,5.0,Card,"Completed"
O21666,2024-06-15,C432,"Brandon Malone PhD",West," Mumbai",P5043," Monitor",Electronics,31812,2,0.0,UPI,"Returned"
O21800,2024-11-18,C260,"Robert Diaz",South,hyderabad,P4110,Monitor,Electronics,75499,1,20.0,Card,"Cancelled"
O17559,2024-10-29,C185,"  John Allison  ",South," Mumbai ",P4308," Jacket",Fashion,4976,2,15.0,UPI,"Completed"
O21770,2024-04-01,C475,"Robert Ruiz",North," Kolkata ",P1840," Jeans",Fashion,3245,5,20.0,COD,"Completed"
O14732,2024-11-03,C420,,North,,P5009,"Sofa ",Home,3853,1,15.0,UPI,"Cancelled"
O10802,2024-03-31,C194,"  Heather Myers  ",North,"Hyderabad ",P6901,table,Home,4959,1,10.0,Card,"Returned"
O16039,2024-12-18,C294,"Courtney Harrington",North," Chennai ",P5705," Jacket",Fashion,1395,2,10.0,Card,"Completed"
O18609,2024-11-11,C394,"Susan Diaz",West," Kolkata",P7783,jacket,Fashion,512,2,15.0,COD,"Returned"
O10186,2024-01-19,C427,"David White",North,kolkata,P3224," Table",Home,3177,5,0.0,Card,"Cancelled"
O17578,2024-11-16,C311,"BENJAMIN WEST",North,Kolkata,P3719,"Jacket ",Fashion,3396,3,20.0,COD,"Cancelled"
O15051,2024-06-23,C461,"Alexis Mathews",West,Mumbai,P9579,Laptop,Electronics,17137,3,5.0,UPI,"Returned"
